hotel_id,price,stock,city,date,language,mobile,avatar_id,group,brand,parking,pool,children_policy
867,144,0,amsterdam,7,slovakian,1,319186,Independant,Independant,1,0,0
482,78,0,amsterdam,7,slovakian,1,319186,Accar Hotels,Ibas,1,0,0
493,171,1,amsterdam,7,slovakian,1,319186,Chillton Worldwide,Tripletree,0,0,0
410,124,6,amsterdam,7,slovakian,1,319186,Accar Hotels,Navatel,0,0,0
88,128,0,amsterdam,7,slovakian,1,319186,Boss Western,Boss Western,0,0,0
52,170,5,amsterdam,7,slovakian,1,319186,Chillton Worldwide,Tripletree,0,0,0
105,170,6,amsterdam,7,slovakian,1,319186,Yin Yang,Ardisson,0,0,0
172,128,0,amsterdam,7,slovakian,1,319186,Accar Hotels,Navatel,1,0,0
548,223,19,amsterdam,7,slovakian,1,319186,Morriott International,Corlton,0,1,0
628,147,0,amsterdam,7,slovakian,1,319186,Boss Western,J.Halliday Inn,0,0,0
807,396,7,amsterdam,7,slovakian,1,319186,Chillton Worldwide,Chill Garden Inn,0,1,0
925,121,0,amsterdam,7,slovakian,1,319186,Boss Western,Boss Western,1,0,0
967,76,0,amsterdam,7,slovakian,1,319186,Independant,Independant,1,0,0
916,131,6,amsterdam,7,slovakian,1,319186,Boss Western,Boss Western,1,0,0
745,101,4,amsterdam,7,slovakian,1,319186,Independant,Independant,0,0,0
86,109,0,amsterdam,7,slovakian,1,319186,Independant,Independant,1,0,0
625,236,7,amsterdam,7,slovakian,1,319186,Yin Yang,Royal Lotus,1,0,0
352,97,22,amsterdam,7,slovakian,1,319186,Independant,Independant,1,0,0
660,168,3,amsterdam,7,slovakian,1,319186,Chillton Worldwide,Tripletree,0,0,0
585,73,8,amsterdam,7,slovakian,1,319186,Yin Yang,8 Premium,0,0,0
945,175,1,amsterdam,7,slovakian,1,319186,Chillton Worldwide,Tripletree,0,0,0
146,207,8,amsterdam,7,slovakian,1,319186,Chillton Worldwide,Quadrupletree,0,0,0
971,173,6,amsterdam,7,slovakian,1,319186,Chillton Worldwide,Tripletree,1,0,0
676,85,2,amsterdam,7,slovakian,1,319186,Independant,Independant,0,0,0
163,234,7,amsterdam,7,slovakian,1,319186,Yin Yang,Royal Lotus,0,1,0
311,100,16,amsterdam,7,slovakian,1,319186,Independant,Independant,1,0,0
465,319,8,amsterdam,7,slovakian,1,319186,Morriott International,Corlton,1,1,0
933,147,0,amsterdam,7,slovakian,1,319186,Boss Western,J.Halliday Inn,1,0,0
603,349,7,amsterdam,7,slovakian,1,319186,Morriott International,Corlton,0,1,0
743,168,4,amsterdam,7,slovakian,1,319186,Morriott International,CourtYord,1,1,0
269,148,0,amsterdam,7,slovakian,1,319186,Yin Yang,Ardisson,0,1,0
10,148,0,amsterdam,7,slovakian,1,319186,Chillton Worldwide,Tripletree,0,0,0
630,150,0,amsterdam,7,slovakian,1,319186,Boss Western,J.Halliday Inn,0,0,0
969,82,0,amsterdam,7,slovakian,1,319186,Accar Hotels,Ibas,1,0,0
627,103,0,amsterdam,7,slovakian,1,319186,Independant,Independant,0,0,0
214,288,5,amsterdam,7,slovakian,1,319186,Chillton Worldwide,Quadrupletree,0,1,0
234,170,0,amsterdam,7,slovakian,1,319186,Boss Western,J.Halliday Inn,0,0,0
835,100,30,amsterdam,7,slovakian,1,319186,Independant,Independant,0,0,0
193,144,3,amsterdam,7,slovakian,1,319186,Independant,Independant,0,0,0
507,123,6,amsterdam,7,slovakian,1,319186,Boss Western,Boss Western,0,0,0
230,178,3,amsterdam,7,slovakian,1,319186,Boss Western,Boss Western,1,0,0
680,147,0,amsterdam,7,slovakian,1,319186,Independant,Independant,1,0,0
715,170,2,amsterdam,7,slovakian,1,319186,Yin Yang,Ardisson,0,0,0
724,289,11,amsterdam,7,slovakian,1,319186,Morriott International,Corlton,1,0,0
