hotel_id,price,stock,city,date,language,mobile,avatar_id,group,brand,parking,pool,children_policy
378,135,0,madrid,5,danish,1,319182,Boss Western,J.Halliday Inn,0,0,0
982,247,4,madrid,5,danish,1,319182,Morriott International,Morriot,1,0,0
102,289,5,madrid,5,danish,1,319182,Morriott International,Corlton,1,1,0
149,189,0,madrid,5,danish,1,319182,Morriott International,Morriot,1,0,0
414,69,0,madrid,5,danish,1,319182,Independant,Independant,0,0,0
185,156,0,madrid,5,danish,1,319182,Morriott International,CourtYord,0,0,0
93,276,7,madrid,5,danish,1,319182,Chillton Worldwide,Chill Garden Inn,1,0,0
538,120,4,madrid,5,danish,1,319182,Independant,Independant,0,0,0
384,190,6,madrid,5,danish,1,319182,Accar Hotels,Marcure,1,1,0
108,102,0,madrid,5,danish,1,319182,Independant,Independant,0,0,0
798,373,4,madrid,5,danish,1,319182,Accar Hotels,Safitel,0,0,1
478,117,3,madrid,5,danish,1,319182,Accar Hotels,Navatel,0,0,0
733,157,2,madrid,5,danish,1,319182,Boss Western,Boss Western,1,0,0
312,117,0,madrid,5,danish,1,319182,Independant,Independant,1,1,0
277,227,11,madrid,5,danish,1,319182,Chillton Worldwide,Chill Garden Inn,0,0,0
458,84,4,madrid,5,danish,1,319182,Independant,Independant,0,0,0
606,256,4,madrid,5,danish,1,319182,Accar Hotels,Safitel,0,0,0
252,267,4,madrid,5,danish,1,319182,Morriott International,Morriot,1,1,0
322,88,5,madrid,5,danish,1,319182,Independant,Independant,1,0,0
241,133,0,madrid,5,danish,1,319182,Boss Western,J.Halliday Inn,1,0,0
500,71,4,madrid,5,danish,1,319182,Independant,Independant,0,0,0
615,115,0,madrid,5,danish,1,319182,Accar Hotels,Navatel,0,0,0
618,116,0,madrid,5,danish,1,319182,Accar Hotels,Navatel,1,0,0
97,243,10,madrid,5,danish,1,319182,Accar Hotels,Safitel,1,1,0
729,359,5,madrid,5,danish,1,319182,Accar Hotels,Safitel,0,1,0
427,267,4,madrid,5,danish,1,319182,Yin Yang,Royal Lotus,0,0,0
186,137,0,madrid,5,danish,1,319182,Yin Yang,Ardisson,1,0,0
575,93,24,madrid,5,danish,1,319182,Independant,Independant,1,0,1
439,115,0,madrid,5,danish,1,319182,Boss Western,Boss Western,1,0,0
