hotel_id,price,stock,city,date,language,mobile,avatar_id,group,brand,parking,pool,children_policy
146,165,150,amsterdam,40,bulgarian,0,319188,Chillton Worldwide,Quadrupletree,0,0,0
45,137,106,amsterdam,40,bulgarian,0,319188,Yin Yang,Ardisson,0,0,0
163,159,150,amsterdam,40,bulgarian,0,319188,Yin Yang,Royal Lotus,0,1,0
77,222,208,amsterdam,40,bulgarian,0,319188,Accar Hotels,Safitel,0,1,0
806,234,217,amsterdam,40,bulgarian,0,319188,Chillton Worldwide,Chill Garden Inn,0,0,1
224,135,107,amsterdam,40,bulgarian,0,319188,Yin Yang,Ardisson,1,0,0
917,243,216,amsterdam,40,bulgarian,0,319188,Morriott International,Corlton,1,1,0
925,97,89,amsterdam,40,bulgarian,0,319188,Boss Western,Boss Western,1,0,0
103,171,150,amsterdam,40,bulgarian,0,319188,Yin Yang,Royal Lotus,1,1,0
158,138,108,amsterdam,40,bulgarian,0,319188,Yin Yang,Ardisson,0,0,0
117,71,43,amsterdam,40,bulgarian,0,319188,Yin Yang,8 Premium,1,0,0
211,137,109,amsterdam,40,bulgarian,0,319188,Morriott International,CourtYord,1,0,0
706,103,84,amsterdam,40,bulgarian,0,319188,Boss Western,Boss Western,0,0,1
821,103,87,amsterdam,40,bulgarian,0,319188,Independant,Independant,0,0,0
269,148,110,amsterdam,40,bulgarian,0,319188,Yin Yang,Ardisson,0,1,0
660,134,104,amsterdam,40,bulgarian,0,319188,Chillton Worldwide,Tripletree,0,0,0
493,131,104,amsterdam,40,bulgarian,0,319188,Chillton Worldwide,Tripletree,0,0,0
960,234,218,amsterdam,40,bulgarian,0,319188,Chillton Worldwide,Chill Garden Inn,0,0,0
724,231,215,amsterdam,40,bulgarian,0,319188,Morriott International,Corlton,1,0,0
9,78,109,amsterdam,40,bulgarian,0,319188,Independant,Independant,0,0,0
505,99,90,amsterdam,40,bulgarian,0,319188,Independant,Independant,0,0,1
366,75,87,amsterdam,40,bulgarian,0,319188,Independant,Independant,1,0,0
86,104,157,amsterdam,40,bulgarian,0,319188,Independant,Independant,1,0,0
587,148,105,amsterdam,40,bulgarian,0,319188,Boss Western,J.Halliday Inn,0,0,0
264,71,43,amsterdam,40,bulgarian,0,319188,Independant,Independant,1,0,0
455,137,105,amsterdam,40,bulgarian,0,319188,Yin Yang,Ardisson,0,0,0
762,142,104,amsterdam,40,bulgarian,0,319188,Yin Yang,Ardisson,1,1,0
778,101,84,amsterdam,40,bulgarian,0,319188,Independant,Independant,1,0,0
783,81,42,amsterdam,40,bulgarian,0,319188,Yin Yang,8 Premium,1,0,0
441,173,146,amsterdam,40,bulgarian,0,319188,Yin Yang,Royal Lotus,0,0,0
880,101,86,amsterdam,40,bulgarian,0,319188,Boss Western,Boss Western,0,0,0
604,101,84,amsterdam,40,bulgarian,0,319188,Accar Hotels,Navatel,1,0,0
743,134,107,amsterdam,40,bulgarian,0,319188,Morriott International,CourtYord,1,1,0
969,75,47,amsterdam,40,bulgarian,0,319188,Accar Hotels,Ibas,1,0,0
214,161,154,amsterdam,40,bulgarian,0,319188,Chillton Worldwide,Quadrupletree,0,1,0
760,161,160,amsterdam,40,bulgarian,0,319188,Yin Yang,Royal Lotus,0,0,0
271,74,44,amsterdam,40,bulgarian,0,319188,Independant,Independant,1,0,0
591,232,217,amsterdam,40,bulgarian,0,319188,Accar Hotels,Safitel,0,0,0
750,99,42,amsterdam,40,bulgarian,0,319188,Independant,Independant,1,1,0
346,164,151,amsterdam,40,bulgarian,0,319188,Chillton Worldwide,Quadrupletree,1,0,0
745,100,43,amsterdam,40,bulgarian,0,319188,Independant,Independant,0,0,0
256,73,44,amsterdam,40,bulgarian,0,319188,Accar Hotels,Ibas,1,0,0
430,157,157,amsterdam,40,bulgarian,0,319188,Yin Yang,Royal Lotus,0,0,0
16,138,101,amsterdam,40,bulgarian,0,319188,Chillton Worldwide,Tripletree,1,0,0
22,135,101,amsterdam,40,bulgarian,0,319188,Yin Yang,Ardisson,1,0,0
557,107,86,amsterdam,40,bulgarian,0,319188,Accar Hotels,Navatel,0,0,0
892,164,150,amsterdam,40,bulgarian,0,319188,Chillton Worldwide,Quadrupletree,0,1,0
515,234,213,amsterdam,40,bulgarian,0,319188,Accar Hotels,Safitel,1,1,0
715,135,108,amsterdam,40,bulgarian,0,319188,Yin Yang,Ardisson,0,0,0
52,135,106,amsterdam,40,bulgarian,0,319188,Chillton Worldwide,Tripletree,0,0,0
307,98,84,amsterdam,40,bulgarian,0,319188,Accar Hotels,Navatel,1,0,0
82,104,85,amsterdam,40,bulgarian,0,319188,Independant,Independant,0,0,0
101,228,215,amsterdam,40,bulgarian,0,319188,Accar Hotels,Safitel,1,0,0
410,100,84,amsterdam,40,bulgarian,0,319188,Accar Hotels,Navatel,0,0,0
967,71,108,amsterdam,40,bulgarian,0,319188,Independant,Independant,1,0,0
